Landmark,Mean,Median,SD,CI_95_1,CI_95_2
1,0.050898387979941,0.0497822429725805,0.00756331241537088,0.0452839550043769,0.0886304845311059
2,0.0908575999837847,0.0901131276552708,0.00437681475305209,0.0854359740848612,0.105218908217037
3,0.141253417996027,0.141140130285147,0.00388361273803475,0.135594875946723,0.150055547090887
4,0.190044975240915,0.1898793898457,0.00298868715859419,0.185260105304616,0.194615759800657
5,0.239832987591497,0.23979531806995,0.00303889935602831,0.235247578604489,0.244764014567325
6,0.29949492349511,0.299445545763731,0.00272925717097912,0.295091388653681,0.304826286322974
7,0.339826401173585,0.339282502675575,0.00289781999860351,0.335365339472405,0.344579457144706
8,0.361191827008071,0.360573821353533,0.00435498144958089,0.355310148134705,0.372739788527761
9,0.409875967630036,0.409810990150721,0.00298770670991729,0.405322748704108,0.414788283308735
10,0.450035246894741,0.449941910021026,0.00283860747999188,0.445350206048462,0.45464225954591
11,0.54885009266974,0.549815292947382,0.0103663741448403,0.544846058191895,0.561387245388858
12,0.617783206086573,0.619537692545223,0.0109030671219814,0.564783955228767,0.624606174141973
13,0.65588225140186,0.649569446721713,0.0252186513039297,0.624301775746542,0.73203859414098
14,0.721795002682073,0.719658900285669,0.0161446172008931,0.668577482695995,0.754165628055817
15,0.777280623678518,0.780002061425,0.0155486605483748,0.719625784117437,0.794286631777463
16,0.815730817622901,0.818871210788937,0.0130022897458533,0.781690487285931,0.82481200580517
17,0.846365474596771,0.849510635360697,0.0144192801774287,0.807043213790104,0.873181990734966
18,0.875140980090517,0.870827872045243,0.0190312195845014,0.86540843411414,0.951167264668264
19,0.947508235926984,0.950354717673152,0.0697486640095113,0.941459275219832,0.997113022224001
20,0.925613858645896,0.997418838856349,0.254869284248076,0.00755554156349688,0.999649222322201
