"","sample","shape","L","ZeroCrossingCount","ZeroCrossingCount_norm","tb_roughness"
"1","11280",1,5,19,0.0275761973875181,31.3458328402997
"2","11280",1,10,19,0.0275761973875181,31.5944045921586
"3","11280",1,25,19,0.0275761973875181,33.029543702572
"4","11280",1,50,19,0.0275761973875181,34.2748779236981
"5","11280",1,100,19,0.0275761973875181,33.2202551195476
"6","11280",1,150,19,0.0275761973875181,36.3020837187619
"7","11280",1,200,19,0.0275761973875181,27.9783443599951
"8","11280",1,250,19,0.0275761973875181,35.004721815717
"9","11280",1,300,19,0.0275761973875181,29.452363909251
"10","11280",1,350,19,0.0275761973875181,34.9716840548473
"11","11280",1,400,19,0.0275761973875181,35.9914574549401
"12","11280",1,500,19,0.0275761973875181,24.5139409601521
"13","11280",1,600,19,0.0275761973875181,29.4167291521825
