"","sample","shape","area"
"1","10021",1,135641.5
"2","10021",2,51116
"3","10021",3,14895.5
"4","10021",4,12114
"5","10024",1,15084.5
"6","10025",1,245796
"7","10025",2,17080
"8","10025",3,3191.5
"9","10025",4,1196
"10","10025",5,1157.5
"11","10027",1,20975.5
"12","10028",1,27925
"13","10028",2,6043
"14","10046",1,330210.5
"15","10046",2,1159
"16","10122",1,128520.5
"17","10126",1,121757
"18","10127",1,182666
"19","10127",2,42517
"20","10127",3,28060.5
"21","10127",4,4813.5
"22","10127",5,908
"23","10127",6,870.5
"24","10128",1,7910.5
"25","10128",2,5824.5
"26","10128",3,1327
"27","10130",1,69272.5
"28","10130",2,38999
"29","10130",3,10039.5
"30","10130",4,8997
"31","10130",5,4196.5
"32","10130",6,2141.5
"33","10130",7,1814.5
"34","10130",8,1398
"35","10130",9,1315
"36","10130",10,1137
"37","10130",11,1018
"38","10130",12,965.5
"39","10130",13,905.5
"40","10131",1,50659
"41","10131",2,36362.5
"42","10131",3,20418
"43","10131",4,4093
"44","10131",5,3680
"45","10136",1,17284.5
"46","10171",1,13447
"47","10171",2,5321.5
"48","10171",3,1700
"49","10171",4,1369.5
"50","10184",1,55146
"51","10184",2,49423
"52","10184",3,27392.5
"53","10374",1,413335.5
"54","10374",2,2089
"55","10378",1,151209.5
"56","10378",2,2701
"57","10378",3,807.5
"58","10379",1,211921
"59","10379",2,23301.5
"60","10379",3,3548.5
"61","10379",4,1000
"62","10380",1,56572
"63","10380",2,37002.5
"64","10380",3,22580.5
"65","10380",4,16951.5
"66","10380",5,14119
"67","10380",6,12425.5
"68","10380",7,11636.5
"69","10380",8,5304.5
"70","10380",9,5161
"71","10380",10,4399
"72","10380",11,3661.5
"73","10380",12,3551.5
"74","10380",13,3125
"75","10380",14,2460.5
"76","10380",15,2362.5
"77","10380",16,1878
"78","10380",17,1443
"79","10380",18,1385
"80","10380",19,1306
"81","10380",20,1091
"82","10380",21,1019.5
"83","10380",22,912.5
"84","10380",23,813.5
"85","10381",1,60154
"86","10381",2,8567.5
"87","10381",3,5173
"88","10381",4,1876
"89","10381",5,1762
"90","10381",6,1787.5
"91","10381",7,1375.5
"92","10381",8,782.5
"93","10382",1,204993
"94","10382",2,1266
"95","10384",1,24202
"96","10384",2,18945
"97","10384",3,979.5
"98","10395",1,52775.5
"99","10400",1,6313
"100","10401",1,1359
"101","10408",1,105102
"102","10408",2,16459
"103","10408",3,3982
"104","10408",4,1157.5
"105","10408",5,1004.5
"106","10408",6,891.5
"107","10408",7,757.5
"108","10409",1,364800.5
"109","10409",2,14306
"110","10409",3,5969
"111","10409",4,3407
"112","10409",5,1503
"113","10409",6,1065.5
"114","10409",7,931.5
"115","10409",8,806.5
"116","10411",1,58929.5
"117","10417",1,157809
"118","10419",1,238087
"119","10419",2,33841.5
"120","10419",3,10425.5
