"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.087,1.084,"10408",1,20,"-1"
"2",0.034,3.046,"10408",1,20,"1"
"3",-0.208,1.145,"10408",2,20,"-1"
"4",-0.758,3.068,"10408",2,20,"1"
"5",-1.071,1.107,"10408",3,20,"-1"
"6",1.44,1.22,"10408",3,20,"1"
"7",-0.787,1.023,"10408",4,20,"-1"
"8",1.387,1.981,"10408",4,20,"1"
"9",-0.553,0.873,"10408",5,20,"-1"
"10",1.877,0.805,"10408",5,20,"1"
"11",-0.627,1.878,"10408",6,20,"-1"
"12",0.483,0.722,"10408",6,20,"1"
"13",-0.031,0.685,"10408",7,20,"-1"
"14",-0.074,1.935,"10408",7,20,"1"
