"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status","segs"
"1",-5.156,3.423,"9389",1,500,"-1",38
"2",2.693,3.143,"9389",1,500,"1",38
"3",-3.14,2.39,"9389",1,500,"-1",37
"4",3.592,1.816,"9389",1,500,"1",37
"5",-1.055,1.908,"9389",1,500,"-1",36
"6",5.26,1.586,"9389",1,500,"1",36
"7",-8.022,1.774,"9389",1,500,"-1",35
"8",-0.767,2.913,"9389",1,500,"1",35
"9",-4.795,1.289,"9389",1,500,"-1",34
"10",0.553,2.468,"9389",1,500,"1",34
"11",-0.872,1.379,"9389",1,500,"-1",33
"12",2.824,1.094,"9389",1,500,"1",33
"13",-1.967,1.618,"9389",1,500,"-1",32
"14",4.757,5.719,"9389",1,500,"1",32
"15",-2.451,1.51,"9389",1,500,"-1",31
"16",1.901,1.324,"9389",1,500,"1",31
"17",-3.319,2.71,"9389",1,500,"-1",30
"18",4.029,2.967,"9389",1,500,"1",30
"19",-4.577,2.218,"9389",1,500,"-1",29
"20",3.167,2.762,"9389",1,500,"1",29
"21",-0.23,0.36,"9389",1,500,"-1",28
"22",1.07,0.444,"9389",1,500,"1",28
"23",-3.111,4.862,"9389",1,500,"-1",27
"24",-3.087,4.862,"9389",1,500,"1",27
"25",3.091,1.62,"9389",1,500,"-1",26
"26",6.638,0.872,"9389",1,500,"1",26
"27",2,2.62,"9389",1,500,"-1",25
"28",16.698,5.013,"9389",1,500,"1",25
"29",-0.88,2.908,"9389",1,500,"-1",24
"30",5.966,2.037,"9389",1,500,"1",24
"31",-1.439,1.195,"9389",1,500,"-1",23
"32",-0.379,3.393,"9389",1,500,"1",23
"33",-7.502,2.537,"9389",1,500,"-1",22
"34",0.527,3.258,"9389",1,500,"1",22
"35",-3.463,2.156,"9389",1,500,"-1",21
"36",2.296,2.242,"9389",1,500,"1",21
"37",0.037,1.376,"9389",1,500,"-1",20
"38",1.376,5.493,"9389",1,500,"1",20
"39",-4.02,0.877,"9389",1,500,"-1",19
"40",-0.591,1.621,"9389",1,500,"1",19
"41",-2.907,2.356,"9389",1,500,"-1",18
"42",3.923,2.011,"9389",1,500,"1",18
"43",-4.686,1.444,"9389",1,500,"-1",17
"44",0.855,2.027,"9389",1,500,"1",17
"45",-2.664,1.411,"9389",1,500,"-1",16
"46",1.972,1.885,"9389",1,500,"1",16
"47",-4.41,2.88,"9389",1,500,"-1",15
"48",2.836,2.431,"9389",1,500,"1",15
"49",-3.366,2.503,"9389",1,500,"-1",14
"50",5.188,1.843,"9389",1,500,"1",14
"51",-1.983,0.8,"9389",1,500,"-1",13
"52",1.116,1.136,"9389",1,500,"1",13
"53",-1.695,1.545,"9389",1,500,"-1",12
"54",2.17,0.785,"9389",1,500,"1",12
"55",-1.88,1.649,"9389",1,500,"-1",11
"56",2.409,1.137,"9389",1,500,"1",11
"57",0.213,2.355,"9389",1,500,"-1",10
"58",5.995,1.649,"9389",1,500,"1",10
"59",-4.359,1.041,"9389",1,500,"-1",9
"60",0.974,2.167,"9389",1,500,"1",9
"61",-1.793,1.265,"9389",1,500,"-1",8
"62",3.669,0.894,"9389",1,500,"1",8
"63",-0.126,0.405,"9389",1,500,"-1",6
"64",1.27,0.5,"9389",1,500,"1",6
"65",-1.663,0.824,"9389",1,500,"-1",5
"66",0.532,0.632,"9389",1,500,"1",5
"67",-6.419,1.638,"9389",1,500,"-1",4
"68",0.119,1.978,"9389",1,500,"1",4
"69",-14.163,1.95,"9389",1,500,"-1",3
"70",3.152,4.738,"9389",1,500,"1",3
"71",-13.676,2.529,"9389",1,500,"-1",2
"72",-2.389,2.501,"9389",1,500,"1",2
"73",-8.25,2.268,"9389",1,500,"-1",1
"74",-0.006,2.666,"9389",1,500,"1",1
