"","Re1..Intercept.","Re1.sd","sample","shape","BetaSigma","status","segs"
"1",0.263,1.478,10021,1,500,-1,58
"2",0.553,5.041,10021,1,500,1,58
"3",-3.315,0.601,10021,1,500,-1,57
"4",0.764,1.41,10021,1,500,1,57
"5",-2.63,2.521,10021,1,500,-1,56
"6",5.116,2.48,10021,1,500,1,56
"7",-1.502,0.262,10021,1,500,-1,55
"8",0.158,0.354,10021,1,500,1,55
"9",-1.647,2.338,10021,1,500,-1,54
"10",3.295,2.14,10021,1,500,1,54
"11",-2.036,3.272,10021,1,500,-1,53
"12",5.261,2.41,10021,1,500,1,53
"13",-0.97,5.007,10021,1,500,-1,52
"14",13.948,5.552,10021,1,500,1,52
"15",-2.106,0.671,10021,1,500,-1,51
"16",0.082,0.714,10021,1,500,1,51
"17",-10.337,2.929,10021,1,500,-1,50
"18",0.292,3.762,10021,1,500,1,50
"19",-3,0,10021,1,500,-1,49
"20",-1.2,0.749,10021,1,500,1,49
"21",-3.372,2.88,10021,1,500,-1,48
"22",0.139,0.956,10021,1,500,1,48
"23",-3,0,10021,1,500,-1,47
"24",-1.2,0.749,10021,1,500,1,47
"25",-2.237,1.964,10021,1,500,-1,46
"26",3.02,1.669,10021,1,500,1,46
"27",-4.986,2.222,10021,1,500,-1,45
"28",0.44,1.613,10021,1,500,1,45
"29",-2.028,1.173,10021,1,500,-1,44
"30",0.624,0.742,10021,1,500,1,44
"31",-1.442,1.179,10021,1,500,-1,43
"32",1.727,1.034,10021,1,500,1,43
"33",-4.205,0.975,10021,1,500,-1,42
"34",-0.577,0.947,10021,1,500,1,42
"35",-3.064,1.838,10021,1,500,-1,41
"36",1.615,1.678,10021,1,500,1,41
"37",-6.86,1.713,10021,1,500,-1,40
"38",0.937,2.352,10021,1,500,1,40
"39",-1.886,2.541,10021,1,500,-1,39
"40",0.06,0.866,10021,1,500,1,39
"41",-1.017,2.337,10021,1,500,-1,38
"42",6.369,1.115,10021,1,500,1,38
"43",-1.803,6.6,10021,1,500,-1,37
"44",-1.11,1.938,10021,1,500,1,37
"45",-3.779,1.203,10021,1,500,-1,36
"46",1.994,1.921,10021,1,500,1,36
"47",-4.739,1.067,10021,1,500,-1,35
"48",-1.18,1.03,10021,1,500,1,35
"49",-2.048,2.114,10021,1,500,-1,33
"50",4.585,1.496,10021,1,500,1,33
"51",-1.888,1.255,10021,1,500,-1,32
"52",1.574,1.322,10021,1,500,1,32
"53",-10.027,1.946,10021,1,500,-1,30
"54",2.636,4.627,10021,1,500,1,30
"55",-0.116,2.492,10021,1,500,-1,29
"56",4.555,0.473,10021,1,500,1,29
"57",-0.635,1.801,10021,1,500,-1,28
"58",6.072,2.981,10021,1,500,1,28
"59",-5.258,1.326,10021,1,500,-1,27
"60",0.355,2.716,10021,1,500,1,27
"61",-3.952,4.273,10021,1,500,-1,26
"62",6.466,1.948,10021,1,500,1,26
"63",-0.434,2.237,10021,1,500,-1,25
"64",5.448,1.231,10021,1,500,1,25
"65",0.939,5.265,10021,1,500,-1,24
"66",13.182,3.789,10021,1,500,1,24
"67",-1.924,3.985,10021,1,500,-1,23
"68",0.342,1.345,10021,1,500,1,23
"69",-3.111,0.771,10021,1,500,-1,22
"70",-0.456,0.994,10021,1,500,1,22
"71",-3.482,1.409,10021,1,500,-1,21
"72",1.555,1.567,10021,1,500,1,21
"73",-1.51,0.5,10021,1,500,-1,20
"74",0.926,1.052,10021,1,500,1,20
"75",-1.849,2.478,10021,1,500,-1,19
"76",3.678,2.303,10021,1,500,1,19
"77",-3.92,1.43,10021,1,500,-1,18
"78",1.904,2.104,10021,1,500,1,18
"79",-2.774,1.41,10021,1,500,-1,17
"80",1.648,1.577,10021,1,500,1,17
"81",-1.236,0.875,10021,1,500,-1,16
"82",0.885,0.813,10021,1,500,1,16
"83",-3.212,6.457,10021,1,500,-1,15
"84",3.384,2.339,10021,1,500,1,15
"85",-4.4,1.756,10021,1,500,-1,14
"86",0.433,1.49,10021,1,500,1,14
"87",-2.003,6.158,10021,1,500,-1,13
"88",0.312,0.98,10021,1,500,1,13
"89",-1.704,1.278,10021,1,500,-1,12
"90",2.011,1.121,10021,1,500,1,12
"91",-3.499,0.727,10021,1,500,-1,11
"92",-0.793,1.288,10021,1,500,1,11
"93",-3.306,0.888,10021,1,500,-1,10
"94",2.219,2.19,10021,1,500,1,10
"95",-1.181,1.535,10021,1,500,-1,9
"96",2.825,1.199,10021,1,500,1,9
"97",-0.955,2.045,10021,1,500,-1,8
"98",4.229,1.825,10021,1,500,1,8
"99",-0.299,1.292,10021,1,500,-1,7
"100",2.108,4.79,10021,1,500,1,7
"101",-0.136,0.683,10021,1,500,-1,6
"102",1.406,0.556,10021,1,500,1,6
"103",-1.219,1.935,10021,1,500,-1,5
"104",4.138,1.048,10021,1,500,1,5
"105",-0.556,0.319,10021,1,500,-1,4
"106",0.473,3.675,10021,1,500,1,4
"107",-2.782,4.083,10021,1,500,-1,3
"108",7.561,2.23,10021,1,500,1,3
"109",-0.967,1.219,10021,1,500,-1,1
"110",2.699,1.119,10021,1,500,1,1
"111",-1.19,0.837,10024,1,500,-1,7
"112",0.919,0.898,10024,1,500,1,7
"113",-0.884,0.768,10024,1,500,-1,6
"114",0.76,0.765,10024,1,500,1,6
"115",-1.715,1.319,10024,1,500,-1,5
"116",2.588,1.125,10024,1,500,1,5
"117",-1.712,1.312,10024,1,500,-1,4
"118",2.252,1.305,10024,1,500,1,4
"119",-0.75,0.37,10024,1,500,-1,3
"120",0.618,0.443,10024,1,500,1,3
"121",-2.021,1.407,10024,1,500,-1,2
"122",2.1,2.076,10024,1,500,1,2
"123",-2.351,1.341,10024,1,500,-1,1
"124",3.002,1.548,10024,1,500,1,1
"125",0.933,1.126,10025,1,500,-1,64
"126",5.228,0.767,10025,1,500,1,64
"127",-3.048,2.645,10025,1,500,-1,63
"128",3.75,2.476,10025,1,500,1,63
"129",-0.498,1.642,10025,1,500,-1,62
"130",2.601,0.228,10025,1,500,1,62
"131",-1.62,2.124,10025,1,500,-1,61
