"","sample","K","shape","BetaSigma"
"1","10021",38,1,1000
"2","10024",6,1,1000
"3","10025",50,1,1000
"4","10027",25,1,1000
"5","10028",26,1,1000
"6","10046",68,1,1000
"7","10122",24,1,1000
"8","10126",36,1,1000
"9","10127",64,1,1000
"10","10128",15,1,1000
"11","10130",31,1,1000
"12","10131",27,1,1000
"13","10136",8,1,1000
"14","10171",26,1,1000
"15","10184",26,1,1000
"16","10374",53,1,1000
"17","10378",82,1,1000
"18","10379",72,1,1000
"19","10380",37,1,1000
"20","10381",32,1,1000
"21","10382",43,1,1000
"22","10384",13,1,1000
"23","10395",25,1,1000
"24","10400",7,1,1000
"25","10401",4,1,1000
"26","10408",37,1,1000
"27","10409",67,1,1000
"28","10411",26,1,1000
"29","10417",31,1,1000
"30","10419",38,1,1000
"31","10420",46,1,1000
"32","10443",83,1,1000
"33","10460",106,1,1000
"34","10461",82,1,1000
"35","10484",20,1,1000
"36","10485",27,1,1000
"37","10492",22,1,1000
"38","10494",22,1,1000
"39","10497",14,1,1000
"40","10499",22,1,1000
"41","10500",33,1,1000
"42","10503",45,1,1000
"43","10504",8,1,1000
"44","10505",58,1,1000
"45","10506",59,1,1000
"46","10508",32,1,1000
"47","10509",13,1,1000
"48","10514",32,1,1000
"49","10619",19,1,1000
"50","10620",52,1,1000
"51","10626",12,1,1000
"52","10629",26,1,1000
"53","10636",17,1,1000
"54","10639",49,1,1000
"55","10640",48,1,1000
"56","10669",42,1,1000
"57","10672",74,1,1000
"58","10674",21,1,1000
"59","10675",14,1,1000
"60","10837",28,1,1000
"61","10851",10,1,1000
"62","10856",39,1,1000
"63","10857",21,1,1000
"64","10859",25,1,1000
"65","10860",59,1,1000
"66","10862",34,1,1000
"67","10865",36,1,1000
"68","10872",22,1,1000
"69","10876",91,1,1000
"70","10877",39,1,1000
"71","10878",29,1,1000
"72","10880",45,1,1000
"73","10881",64,1,1000
"74","10886",53,1,1000
"75","10887",62,1,1000
"76","10894",37,1,1000
"77","10901",16,1,1000
"78","10903",52,1,1000
"79","10904",78,1,1000
"80","10905",32,1,1000
"81","10931",37,1,1000
"82","10932",20,1,1000
"83","10934",37,1,1000
"84","10938",40,1,1000
"85","10939",18,1,1000
"86","10987",31,1,1000
"87","10988",36,1,1000
"88","10989",45,1,1000
"89","10992",6,1,1000
"90","10994",58,1,1000
"91","10995",29,1,1000
"92","10997",37,1,1000
"93","10998",107,1,1000
"94","10999",76,1,1000
"95","11003",57,1,1000
"96","11004",69,1,1000
"97","11005",33,1,1000
"98","11010",21,1,1000
"99","11026",11,1,1000
"100","11030",17,1,1000
"101","11031",23,1,1000
"102","11033",40,1,1000
"103","11034",4,1,1000
"104","11036",58,1,1000
"105","11038",28,1,1000
"106","11042",50,1,1000
"107","11043",63,1,1000
"108","11048",99,1,1000
"109","11104",11,1,1000
"110","11105",64,1,1000
"111","11106",47,1,1000
"112","11107",81,1,1000
"113","11110",87,1,1000
"114","11112",37,1,1000
"115","11113",20,1,1000
"116","11122",26,1,1000
"117","11127",32,1,1000
"118","11128",72,1,1000
"119","11185",27,1,1000
"120","11186",10,1,1000
"121","11188",66,1,1000
"122","11191",36,1,1000
"123","11192",16,1,1000
"124","11217",10,1,1000
"125","11218",24,1,1000
"126","11220",27,1,1000
"127","11221",26,1,1000
"128","11229",28,1,1000
"129","11233",22,1,1000
"130","11234",28,1,1000
"131","11240",99,1,1000
"132","11247",90,1,1000
"133","11248",93,1,1000
"134","11249",42,1,1000
"135","11252",20,1,1000
"136","11253",16,1,1000
"137","11259",38,1,1000
"138","11262",27,1,1000
"139","11279",11,1,1000
"140","11280",8,1,1000
"141","11285",48,1,1000
"142","11286",31,1,1000
"143","11292",24,1,1000
"144","11293",13,1,1000
"145","11295",19,1,1000
"146","11296",15,1,1000
"147","11299",5,1,1000
"148","11301",4,1,1000
"149","11312",15,1,1000
"150","11313",5,1,1000
"151","11321",22,1,1000
"152","11323",20,1,1000
"153","11326",47,1,1000
"154","11333",56,1,1000
"155","11334",35,1,1000
"156","11336",32,1,1000
"157","11342",27,1,1000
"158","11345",38,1,1000
"159","11346",51,1,1000
"160","11351",67,1,1000
"161","11352",38,1,1000
"162","11357",83,1,1000
"163","11358",28,1,1000
"164","11361",23,1,1000
"165","11364",26,1,1000
"166","11368",26,1,1000
"167","11372",25,1,1000
"168","11373",28,1,1000
"169","11374",45,1,1000
"170","11375",48,1,1000
"171","11377",25,1,1000
"172","11388",34,1,1000
"173","11389",43,1,1000
"174","11391",23,1,1000
"175","11398",43,1,1000
"176","11413",25,1,1000
"177","11414",59,1,1000
"178","11415",53,1,1000
"179","11427",38,1,1000
"180","11429",25,1,1000
"181","11432",26,1,1000
"182","11433",26,1,1000
"183","11435",28,1,1000
"184","11436",31,1,1000
"185","11438",25,1,1000
"186","11445",42,1,1000
"187","11446",53,1,1000
"188","11454",49,1,1000
"189","11455",42,1,1000
"190","11456",9,1,1000
"191","11458",32,1,1000
"192","11460",6,1,1000
"193","11462",17,1,1000
"194","11463",27,1,1000
"195","11471",28,1,1000
"196","11786",17,1,1000
"197","11787",80,1,1000
"198","11788",65,1,1000
"199","9388",29,1,1000
"200","9389",26,1,1000
"201","9390",15,1,1000
"202","9401",21,1,1000
"203","9402",32,1,1000
"204","9459",37,1,1000
"205","9460",75,1,1000
"206","9461",14,1,1000
"207","9462",29,1,1000
"208","9463",20,1,1000
"209","9465",48,1,1000
"210","9468",36,1,1000
"211","9469",47,1,1000
"212","9474",69,1,1000
"213","9475",58,1,1000
"214","9481",38,1,1000
"215","9482",49,1,1000
"216","9496",61,1,1000
"217","9497",60,1,1000
"218","9528",35,1,1000
"219","9529",21,1,1000
"220","9530",76,1,1000
"221","9531",5,1,1000
"222","9532",15,1,1000
"223","9543",70,1,1000
"224","9544",72,1,1000
"225","9545",10,1,1000
"226","9546",19,1,1000
"227","9548",40,1,1000
"228","9549",82,1,1000
"229","9550",69,1,1000
"230","9665",17,1,1000
"231","9667",53,1,1000
"232","9668",57,1,1000
"233","9683",135,1,1000
"234","9684",71,1,1000
"235","9685",21,1,1000
"236","9689",15,1,1000
"237","9692",55,1,1000
"238","9701",45,1,1000
"239","9706",65,1,1000
"240","9707",64,1,1000
"241","9723",24,1,1000
"242","9732",28,1,1000
"243","9737",18,1,1000
"244","9738",31,1,1000
"245","9740",32,1,1000
"246","9741",39,1,1000
"247","9746",65,1,1000
"248","9747",45,1,1000
"249","9754",13,1,1000
"250","9756",53,1,1000
"251","9757",28,1,1000
"252","9776",52,1,1000
"253","9777",143,1,1000
"254","9778",80,1,1000
"255","9808",54,1,1000
"256","9813",59,1,1000
"257","9946",26,1,1000
"258","9947",62,1,1000
"259","9965",19,1,1000
"260","9966",28,1,1000
"261","9967",41,1,1000
"262","9972",11,1,1000
"263","9980",10,1,1000
"264","9988",24,1,1000
"265","9990",67,1,1000
"266","9991",19,1,1000
"267","9993",37,1,1000
