"","L_ppi","Method","bs","state","state_ind"
"1",13,"MAP","0.01","alabama",1
"2",66,"MAP","0.01","alabama",1
"3",69,"MAP","0.01","alabama",1
"4",124,"MAP","0.01","alabama",1
"5",17,"MAP","0.001","alabama",1
"6",29,"MAP","0.001","alabama",1
"7",53,"MAP","0.001","alabama",1
"8",66,"MAP","0.001","alabama",1
"9",69,"MAP","0.001","alabama",1
"10",84,"MAP","0.001","alabama",1
"11",124,"MAP","0.001","alabama",1
"12",125,"MAP","0.001","alabama",1
"13",145,"MAP","0.001","alabama",1
"14",16,"MAP","0.0001","alabama",1
"15",32,"MAP","0.0001","alabama",1
"16",48,"MAP","0.0001","alabama",1
"17",56,"MAP","0.0001","alabama",1
"18",66,"MAP","0.0001","alabama",1
"19",69,"MAP","0.0001","alabama",1
"20",96,"MAP","0.0001","alabama",1
"21",104,"MAP","0.0001","alabama",1
"22",122,"MAP","0.0001","alabama",1
"23",126,"MAP","0.0001","alabama",1
"24",145,"MAP","0.0001","alabama",1
"25",7,"MAP","0.00001","alabama",1
"26",16,"MAP","0.00001","alabama",1
"27",31,"MAP","0.00001","alabama",1
"28",49,"MAP","0.00001","alabama",1
"29",56,"MAP","0.00001","alabama",1
"30",57,"MAP","0.00001","alabama",1
"31",62,"MAP","0.00001","alabama",1
"32",66,"MAP","0.00001","alabama",1
"33",69,"MAP","0.00001","alabama",1
"34",75,"MAP","0.00001","alabama",1
"35",88,"MAP","0.00001","alabama",1
"36",93,"MAP","0.00001","alabama",1
"37",98,"MAP","0.00001","alabama",1
"38",104,"MAP","0.00001","alabama",1
"39",109,"MAP","0.00001","alabama",1
"40",116,"MAP","0.00001","alabama",1
"41",123,"MAP","0.00001","alabama",1
"42",125,"MAP","0.00001","alabama",1
"43",129,"MAP","0.00001","alabama",1
"44",137,"MAP","0.00001","alabama",1
"45",140,"MAP","0.00001","alabama",1
"46",144,"MAP","0.00001","alabama",1
"47",30,"MAP","0.01","arizona",2
"48",31,"MAP","0.01","arizona",2
"49",32,"MAP","0.01","arizona",2
"50",35,"MAP","0.01","arizona",2
"51",17,"MAP","0.001","arizona",2
"52",31,"MAP","0.001","arizona",2
"53",32,"MAP","0.001","arizona",2
"54",35,"MAP","0.001","arizona",2
"55",69,"MAP","0.001","arizona",2
"56",17,"MAP","0.0001","arizona",2
"57",27,"MAP","0.0001","arizona",2
"58",30,"MAP","0.0001","arizona",2
"59",31,"MAP","0.0001","arizona",2
"60",32,"MAP","0.0001","arizona",2
"61",34,"MAP","0.0001","arizona",2
"62",36,"MAP","0.0001","arizona",2
"63",44,"MAP","0.0001","arizona",2
"64",51,"MAP","0.0001","arizona",2
"65",75,"MAP","0.0001","arizona",2
"66",81,"MAP","0.0001","arizona",2
"67",17,"MAP","0.00001","arizona",2
"68",19,"MAP","0.00001","arizona",2
"69",25,"MAP","0.00001","arizona",2
"70",28,"MAP","0.00001","arizona",2
"71",30,"MAP","0.00001","arizona",2
"72",31,"MAP","0.00001","arizona",2
"73",32,"MAP","0.00001","arizona",2
"74",34,"MAP","0.00001","arizona",2
"75",35,"MAP","0.00001","arizona",2
"76",38,"MAP","0.00001","arizona",2
"77",42,"MAP","0.00001","arizona",2
"78",45,"MAP","0.00001","arizona",2
"79",48,"MAP","0.00001","arizona",2
"80",53,"MAP","0.00001","arizona",2
"81",59,"MAP","0.00001","arizona",2
"82",65,"MAP","0.00001","arizona",2
"83",74,"MAP","0.00001","arizona",2
"84",81,"MAP","0.00001","arizona",2
"85",23,"MAP","0.01","arkansas",3
"86",25,"MAP","0.01","arkansas",3
"87",54,"MAP","0.01","arkansas",3
"88",224,"MAP","0.01","arkansas",3
"89",23,"MAP","0.001","arkansas",3
"90",25,"MAP","0.001","arkansas",3
"91",42,"MAP","0.001","arkansas",3
"92",51,"MAP","0.001","arkansas",3
"93",56,"MAP","0.001","arkansas",3
"94",195,"MAP","0.001","arkansas",3
"95",254,"MAP","0.001","arkansas",3
"96",1,"MAP","0.0001","arkansas",3
"97",4,"MAP","0.0001","arkansas",3
"98",19,"MAP","0.0001","arkansas",3
"99",25,"MAP","0.0001","arkansas",3
"100",40,"MAP","0.0001","arkansas",3
"101",44,"MAP","0.0001","arkansas",3
"102",51,"MAP","0.0001","arkansas",3
"103",57,"MAP","0.0001","arkansas",3
"104",99,"MAP","0.0001","arkansas",3
"105",104,"MAP","0.0001","arkansas",3
"106",205,"MAP","0.0001","arkansas",3
"107",247,"MAP","0.0001","arkansas",3
"108",253,"MAP","0.0001","arkansas",3
"109",1,"MAP","0.00001","arkansas",3
"110",2,"MAP","0.00001","arkansas",3
