num,equil,pn,elapse,method
4,FALSE,100,5.5793,ALDUQ
4,FALSE,100,5.9198,ALDUQ
4,FALSE,100,5.5176,ALDUQ
4,FALSE,100,5.1984,ALDUQ
4,FALSE,100,5.492,ALDUQ
4,FALSE,100,5.3728,ALDUQ
4,FALSE,100,5.4095,ALDUQ
4,FALSE,100,5.4995,ALDUQ
4,FALSE,100,5.9304,ALDUQ
4,FALSE,100,5.5646,ALDUQ
4,FALSE,100,5.3612,ALDUQ
4,FALSE,100,5.5934,ALDUQ
4,FALSE,100,5.3615,ALDUQ
4,FALSE,100,5.2527,ALDUQ
4,FALSE,100,5.6312,ALDUQ
4,FALSE,100,5.1633,ALDUQ
4,FALSE,100,5.415,ALDUQ
4,FALSE,100,5.3266,ALDUQ
4,FALSE,100,5.6059,ALDUQ
4,FALSE,100,5.257,ALDUQ
4,FALSE,100,5.4682,ALDUQ
4,FALSE,100,5.5235,ALDUQ
4,FALSE,100,5.443,ALDUQ
4,FALSE,100,5.4312,ALDUQ
4,FALSE,100,5.6819,ALDUQ
4,FALSE,100,5.2867,ALDUQ
4,FALSE,100,5.8321,ALDUQ
4,FALSE,100,5.6264,ALDUQ
4,FALSE,100,5.424,ALDUQ
4,FALSE,100,5.6749,ALDUQ
4,FALSE,100,5.6404,ALDUQ
4,FALSE,100,5.4212,ALDUQ
4,FALSE,100,5.4495,ALDUQ
4,FALSE,100,5.4431,ALDUQ
4,FALSE,100,5.5588,ALDUQ
4,FALSE,100,5.3261,ALDUQ
4,FALSE,100,5.4985,ALDUQ
4,FALSE,100,5.6832,ALDUQ
4,FALSE,100,5.6064,ALDUQ
4,FALSE,100,5.5853,ALDUQ
4,FALSE,100,5.439,ALDUQ
4,FALSE,100,5.8931,ALDUQ
4,FALSE,100,5.463,ALDUQ
4,FALSE,100,5.7158,ALDUQ
4,FALSE,100,5.6037,ALDUQ
4,FALSE,100,5.609,ALDUQ
4,FALSE,100,5.4411,ALDUQ
4,FALSE,100,5.4344,ALDUQ
4,FALSE,100,5.8609,ALDUQ
4,FALSE,100,5.7899,ALDUQ
4,FALSE,150,9.522,ALDUQ
4,FALSE,150,9.7376,ALDUQ
4,FALSE,150,9.6161,ALDUQ
4,FALSE,150,9.4817,ALDUQ
4,FALSE,150,9.3928,ALDUQ
4,FALSE,150,9.5624,ALDUQ
4,FALSE,150,9.5582,ALDUQ
4,FALSE,150,9.6034,ALDUQ
4,FALSE,150,9.9671,ALDUQ
4,FALSE,150,9.9568,ALDUQ
4,FALSE,150,9.7132,ALDUQ
4,FALSE,150,9.6549,ALDUQ
4,FALSE,150,10.3486,ALDUQ
4,FALSE,150,9.5436,ALDUQ
4,FALSE,150,10.545,ALDUQ
4,FALSE,150,9.4607,ALDUQ
4,FALSE,150,9.4447,ALDUQ
4,FALSE,150,10.0819,ALDUQ
4,FALSE,150,9.5333,ALDUQ
4,FALSE,150,9.4217,ALDUQ
4,FALSE,150,9.5479,ALDUQ
4,FALSE,150,10.1378,ALDUQ
4,FALSE,150,9.812,ALDUQ
4,FALSE,150,10.1987,ALDUQ
4,FALSE,150,10.2382,ALDUQ
4,FALSE,150,9.8016,ALDUQ
4,FALSE,150,9.9953,ALDUQ
4,FALSE,150,9.6629,ALDUQ
4,FALSE,150,9.6692,ALDUQ
4,FALSE,150,10.0119,ALDUQ
4,FALSE,150,9.5988,ALDUQ
4,FALSE,150,9.5247,ALDUQ
4,FALSE,150,9.6479,ALDUQ
4,FALSE,150,9.5555,ALDUQ
4,FALSE,150,9.3302,ALDUQ
4,FALSE,150,9.8539,ALDUQ
4,FALSE,150,11.6201,ALDUQ
4,FALSE,150,9.9483,ALDUQ
4,FALSE,150,9.7716,ALDUQ
4,FALSE,150,9.8909,ALDUQ
4,FALSE,150,11.1405,ALDUQ
4,FALSE,150,9.4912,ALDUQ
4,FALSE,150,9.5609,ALDUQ
4,FALSE,150,9.9225,ALDUQ
4,FALSE,150,9.974,ALDUQ
4,FALSE,150,9.9794,ALDUQ
4,FALSE,150,10.2845,ALDUQ
4,FALSE,150,9.827,ALDUQ
4,FALSE,150,9.8752,ALDUQ
4,FALSE,150,9.3224,ALDUQ
