sample,method,MCC,ARI
Normal_5_equil_TRUE_pn_500_seed_43,PPM,1,1
Normal_5_equil_TRUE_pn_500_seed_43,PPM_window5,1,1
Normal_5_equil_TRUE_pn_500_seed_43,PPM_window10,1,1
Normal_5_equil_TRUE_pn_500_seed_43,PPI,1,1
Normal_5_equil_TRUE_pn_500_seed_43,PPI_window5,1,1
Normal_5_equil_TRUE_pn_500_seed_43,PPI_window10,1,1
Normal_5_equil_TRUE_pn_500_seed_43,ALDUQ,-0.011076296005915,-0.0108260464119958
Normal_5_equil_TRUE_pn_500_seed_43,ALDUQ_window5,0.173528637426002,0.169577932869565
Normal_5_equil_TRUE_pn_500_seed_43,ALDUQ_window10,0.358133570857919,0.351485278645139
Normal_5_equil_TRUE_pn_500_seed_43,chull,0.447589879618273,0.320303297201072
Normal_5_equil_TRUE_pn_500_seed_43,chull_window5,0.468473479810312,0.34697191820298
Normal_5_equil_TRUE_pn_500_seed_43,chull_window10,0.492365963917331,0.377890253275514
