"","Variable","Beta","SE","HR","HR (95% CI)","P"
"1","mean","-0.76","0.53","0.47","0.47 (0.14, 1.53)","0.21"
"2","sd","-0.43","0.64","0.65","0.65 (0.19, 2.23)","0.49"
"3","kurtosis","-0.37","0.12","0.69","0.69 (0.56, 0.85)","<0.001"
"4","skewness","1.67","0.46","5.34","5.34 (2.22, 12.80)","<0.001"
"5","K","0.01","0.01","1.01","1.01 (1.00, 1.03)","0.05"
"6","area","0.00","0.00","1.00","1.00 (1.00, 1.00)","0.83"
"7","stage","","","","",""
"8","\ \ \ 1 (ref)","-","-","-","-","-"
"9","\ \ \ 2","0.34","0.38","1.41","1.41 (0.42, 4.74)","0.58"
"10","\ \ \ 3","1.17","0.27","3.21","3.21 (1.55, 6.66)","0.002"
"11","\ \ \ 4","1.80","0.36","6.06","6.06 (2.45, 15.03)","<0.001"
"12","tobaccoTRUE","-0.12","0.23","0.89","0.89 (0.47, 1.69)","0.72"
"13","femaleTRUE","-0.13","0.24","0.88","0.88 (0.47, 1.66)","0.69"
