"","Variable","Beta","SE","HR","HR (95% CI)","P"
"1","mean","-1.87","8.93","0.15","0.15 (0.00, 4526152.08)","0.83"
"2","sd","6.56","5.94","708.33","708.33 (0.01, 60824447.10)","0.26"
"3","kurtosis","0.14","0.08","1.15","1.15 (1.00, 1.33)","0.05"
"4","skewness","-1.13","0.50","0.32","0.32 (0.13, 0.81)","0.02"
"5","K","0.01","0.01","1.01","1.01 (1.00, 1.03)","0.10"
"6","area","0.00","0.00","1.00","1.00 (1.00, 1.00)","0.87"
"7","stage","","","","",""
"8","\ \ \ 1 (ref)","-","-","-","-","-"
"9","\ \ \ 2","0.47","0.38","1.61","1.61 (0.48, 5.32)","0.44"
"10","\ \ \ 3","1.21","0.28","3.37","3.37 (1.52, 7.44)","0.003"
"11","\ \ \ 4","1.77","0.36","5.84","5.84 (2.28, 14.96)","<0.001"
"12","tobaccoTRUE","-0.10","0.23","0.91","0.91 (0.48, 1.72)","0.76"
"13","femaleTRUE","-0.10","0.23","0.91","0.91 (0.48, 1.69)","0.75"
