"","Variable","Beta","SE","HR","HR (95% CI)","P"
"1","mean","-0.66","0.44","0.52","0.52 (0.19, 1.38)","0.19"
"2","sd","-0.54","0.52","0.58","0.58 (0.21, 1.59)","0.29"
"3","kurtosis","-0.36","0.12","0.70","0.70 (0.57, 0.85)","<0.001"
"4","skewness","1.66","0.46","5.27","5.27 (2.17, 12.81)","<0.001"
"5","area","0.00","0.00","1.00","1.00 (1.00, 1.00)","0.78"
"6","stage","","","","",""
"7","\ \ \ 1 (ref)","-","-","-","-","-"
"8","\ \ \ 2","0.35","0.38","1.42","1.42 (0.42, 4.76)","0.57"
"9","\ \ \ 3","1.16","0.27","3.18","3.18 (1.54, 6.58)","0.002"
"10","\ \ \ 4","1.78","0.36","5.93","5.93 (2.39, 14.73)","<0.001"
"11","tobaccoTRUE","-0.13","0.23","0.87","0.87 (0.46, 1.68)","0.69"
"12","femaleTRUE","-0.11","0.24","0.90","0.90 (0.48, 1.69)","0.73"
"13","K","0.01","0.01","1.01","1.01 (1.00, 1.03)","0.05"
