"","Variable","Beta","SE","HR","HR (95% CI)","P"
"1","mean","-0.33","0.19","0.72","0.72 (0.47, 1.09)","0.12"
"2","sd","-0.39","0.29","0.68","0.68 (0.40, 1.14)","0.14"
"3","kurtosis","-0.38","0.17","0.69","0.69 (0.51, 0.92)","0.01"
"4","skewness","1.55","0.53","4.73","4.73 (1.98, 11.33)","<0.001"
"5","area","0.00","0.00","1.00","1.00 (1.00, 1.00)","0.38"
"6","stage","","","","",""
"7","\ \ \ 1 (ref)","-","-","-","-","-"
"8","\ \ \ 2","0.36","0.38","1.43","1.43 (0.43, 4.78)","0.56"
"9","\ \ \ 3","1.20","0.27","3.32","3.32 (1.60, 6.90)","0.001"
"10","\ \ \ 4","1.64","0.36","5.14","5.14 (2.08, 12.74)","<0.001"
"11","tobaccoTRUE","-0.12","0.23","0.89","0.89 (0.47, 1.68)","0.72"
"12","femaleTRUE","-0.21","0.24","0.81","0.81 (0.43, 1.52)","0.51"
"13","K","0.01","0.01","1.01","1.01 (1.00, 1.02)","0.13"
