"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-1.376,1.271,"10939",1,20,"-1"
"2",1.446,1.318,"10939",1,20,"1"
"3",-0.359,2.445,"10939",2,20,"-1"
"4",0.102,0.938,"10939",2,20,"1"
"5",-0.64,2.678,"10939",3,20,"-1"
"6",0.163,1.022,"10939",3,20,"1"
"7",-0.256,1.01,"10939",4,20,"-1"
"8",0.099,3.192,"10939",4,20,"1"
"9",-0.563,1.08,"10939",5,20,"-1"
"10",1.781,1.008,"10939",5,20,"1"
"11",-0.885,0.971,"10939",6,20,"-1"
"12",1.376,0.923,"10939",6,20,"1"
"13",-1.009,0.849,"10939",7,20,"-1"
"14",1.13,0.844,"10939",7,20,"1"
