"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status","segs"
"1",-4.594,2.496,"11435",1,500,"-1",33
"2",2.788,2.688,"11435",1,500,"1",33
"3",-0.325,1.219,"11435",1,500,"-1",32
"4",2.258,1.086,"11435",1,500,"1",32
"5",-2.375,5.012,"11435",1,500,"-1",31
"6",10.942,3.527,"11435",1,500,"1",31
"7",0.471,0.667,"11435",1,500,"-1",30
"8",0.707,0,"11435",1,500,"1",30
"9",-1.565,0.8,"11435",1,500,"-1",29
"10",1.702,1.597,"11435",1,500,"1",29
"11",-0.277,2.663,"11435",1,500,"-1",28
"12",4.168,0.863,"11435",1,500,"1",28
"13",-5.566,1.835,"11435",1,500,"-1",27
"14",1.236,1.989,"11435",1,500,"1",27
"15",-0.327,1.942,"11435",1,500,"-1",26
"16",6.369,2.458,"11435",1,500,"1",26
"17",-0.043,2.217,"11435",1,500,"-1",25
"18",4.993,0.688,"11435",1,500,"1",25
"19",-1.929,2.18,"11435",1,500,"-1",24
"20",5.588,1.916,"11435",1,500,"1",24
"21",-8.04,2.201,"11435",1,500,"-1",23
"22",-0.289,3.178,"11435",1,500,"1",23
"23",-0.709,2.238,"11435",1,500,"-1",22
"24",6.969,2.585,"11435",1,500,"1",22
"25",-2.693,1.843,"11435",1,500,"-1",21
"26",3.021,1.607,"11435",1,500,"1",21
"27",-0.198,3.909,"11435",1,500,"-1",20
"28",-0.19,0.712,"11435",1,500,"1",20
"29",-5.475,0.787,"11435",1,500,"-1",19
"30",1.365,1.384,"11435",1,500,"1",19
"31",-0.751,2.565,"11435",1,500,"-1",18
"32",5.008,1.701,"11435",1,500,"1",18
"33",-3.734,1.08,"11435",1,500,"-1",17
"34",0.419,1.791,"11435",1,500,"1",17
"35",-2.31,5.394,"11435",1,500,"-1",16
"36",1.975,1.86,"11435",1,500,"1",16
"37",-2.228,3.957,"11435",1,500,"-1",15
"38",5.93,2.598,"11435",1,500,"1",15
"39",0.226,2.485,"11435",1,500,"-1",14
"40",9.318,2.086,"11435",1,500,"1",14
"41",-3.799,2.369,"11435",1,500,"-1",13
"42",3.022,2.322,"11435",1,500,"1",13
"43",-7.117,1.463,"11435",1,500,"-1",12
"44",1.822,3.465,"11435",1,500,"1",12
"45",0.029,1.247,"11435",1,500,"-1",11
"46",0.493,4.889,"11435",1,500,"1",11
"47",-3.799,2.053,"11435",1,500,"-1",10
"48",1.42,1.976,"11435",1,500,"1",10
"49",-2.417,1.289,"11435",1,500,"-1",9
"50",0.976,1.445,"11435",1,500,"1",9
"51",-2.569,2.289,"11435",1,500,"-1",8
"52",2.38,1.745,"11435",1,500,"1",8
"53",-1.233,0.467,"11435",1,500,"-1",7
"54",0.658,0.775,"11435",1,500,"1",7
"55",-0.332,1.387,"11435",1,500,"-1",6
"56",4.665,1.503,"11435",1,500,"1",6
"57",-0.136,1.884,"11435",1,500,"-1",5
"58",5.035,1.256,"11435",1,500,"1",5
"59",-4.686,2.407,"11435",1,500,"-1",4
"60",1.81,2.3,"11435",1,500,"1",4
"61",-3.257,1.844,"11435",1,500,"-1",3
"62",1.674,1.897,"11435",1,500,"1",3
"63",-4.496,2.703,"11435",1,500,"-1",2
"64",-0.457,1.593,"11435",1,500,"1",2
"65",-0.087,3.019,"11435",1,500,"-1",1
"66",10.428,3.805,"11435",1,500,"1",1
