"","-1","-1to1","1to-1","1","sample","shape","BetaSigma","model","segs"
"1",0.877937974434291,0.122062025565709,0.0553018431563428,0.944698156843657,"9469",1,500,"sign",1
"2",0.902439024390244,0.0975609756097561,0.128205128205128,0.871794871794872,"9469",1,500,"gaussian",1
"3",0.971863801272311,0.0281361987276887,3.32425323870756e-10,0.999999999667575,"9469",1,500,"sign",3
"4",0.896551724137931,0.103448275862069,0.0810810810810811,0.918918918918919,"9469",1,500,"gaussian",3
"5",0.943054788356199,0.0569452116438011,0.0536448627757987,0.946355137224201,"9469",1,500,"sign",4
"6",0.833333333333333,0.166666666666667,0.131578947368421,0.868421052631579,"9469",1,500,"gaussian",4
"7",0.890368505375178,0.109631494624822,0.0592503462841907,0.940749653715809,"9469",1,500,"sign",5
"8",0.8125,0.1875,0.4,0.6,"9469",1,500,"gaussian",5
"9",0.845217449037771,0.154782550962229,0.0739993446864841,0.926000655313516,"9469",1,500,"sign",6
"10",1,0,0,1,"9469",1,500,"gaussian",6
"11",0.962823092073673,0.0371769079263267,0.0370332809148972,0.962966719085103,"9469",1,500,"sign",7
"12",0.88,0.12,0.0967741935483871,0.903225806451613,"9469",1,500,"gaussian",7
"13",0.990903312421319,0.00909668757868129,0.0498544994766002,0.9501455005234,"9469",1,500,"sign",8
"14",0.923076923076923,0.0769230769230769,0.115384615384615,0.884615384615385,"9469",1,500,"gaussian",8
"15",0.975855971156259,0.0241440288437408,0.0829143399145783,0.917085660085422,"9469",1,500,"sign",9
"16",0.926470588235294,0.0735294117647059,0.15,0.85,"9469",1,500,"gaussian",9
"17",0.928109188213289,0.0718908117867108,0.114915191893584,0.885084808106416,"9469",1,500,"sign",10
"18",0.890909090909091,0.109090909090909,0.179487179487179,0.82051282051282,"9469",1,500,"gaussian",10
"19",0.760037734371594,0.239962265628406,0.116899226505215,0.883100773494785,"9469",1,500,"sign",11
"20",0.8,0.2,0.32,0.68,"9469",1,500,"gaussian",11
"21",0.977201957048736,0.0227980429512644,0.0397459024230791,0.960254097576921,"9469",1,500,"sign",12
"22",0.946428571428571,0.0535714285714286,0.127272727272727,0.872727272727273,"9469",1,500,"gaussian",12
"23",0.973694940181602,0.0263050598183979,0.111305568394924,0.888694431605076,"9469",1,500,"sign",13
"24",0.971428571428571,0.0285714285714286,0.166666666666667,0.833333333333333,"9469",1,500,"gaussian",13
"25",6.6867470318071e-27,1,1,0,"9469",1,500,"sign",14
"26",1,0,0,1,"9469",1,500,"gaussian",14
"27",0.969140349572077,0.0308596504279234,0.0267369593315683,0.973263040668432,"9469",1,500,"sign",15
"28",0.953333333333333,0.0466666666666667,0.115942028985507,0.884057971014493,"9469",1,500,"gaussian",15
"29",0.9729836098884,0.0270163901115994,0.0976205308193171,0.902379469180683,"9469",1,500,"sign",16
"30",0.861111111111111,0.138888888888889,0.265822784810127,0.734177215189873,"9469",1,500,"gaussian",16
"31",0.90596033885464,0.0940396611453604,0.0311886352921145,0.968811364707885,"9469",1,500,"sign",17
"32",0.815384615384615,0.184615384615385,0.116071428571429,0.883928571428571,"9469",1,500,"gaussian",17
"33",0.969717964646842,0.0302820353531577,0.0716757791486341,0.928324220851366,"9469",1,500,"sign",18
"34",0.818181818181818,0.181818181818182,0.16,0.84,"9469",1,500,"gaussian",18
"35",0.980550661412351,0.0194493385876485,0.0316939883813426,0.968306011618657,"9469",1,500,"sign",19
"36",0.930232558139535,0.0697674418604651,0.1,0.9,"9469",1,500,"gaussian",19
"37",0.955955773093643,0.0440442269063573,0.0333281816760458,0.966671818323954,"9469",1,500,"sign",20
"38",0.957446808510638,0.0425531914893617,0.333333333333333,0.666666666666667,"9469",1,500,"gaussian",20
"39",0.933762416642621,0.0662375833573786,0.0874164770211205,0.91258352297888,"9469",1,500,"sign",21
"40",0.857142857142857,0.142857142857143,0.206896551724138,0.793103448275862,"9469",1,500,"gaussian",21
"41",0.80092002455358,0.19907997544642,2.02549993322221e-07,0.999999797450007,"9469",1,500,"sign",22
"42",0.666666666666667,0.333333333333333,0.142857142857143,0.857142857142857,"9469",1,500,"gaussian",22
"43",0.956631619149638,0.0433683808503622,0.030790114532069,0.969209885467931,"9469",1,500,"sign",23
"44",0.94949494949495,0.0505050505050505,0.112359550561798,0.887640449438202,"9469",1,500,"gaussian",23
"45",0.921814856372974,0.0781851436270255,0.105866708877498,0.894133291122502,"9469",1,500,"sign",24
"46",0.840909090909091,0.159090909090909,0.0941176470588235,0.905882352941176,"9469",1,500,"gaussian",24
"47",0.963457751321891,0.0365422486781094,0.053818272840842,0.946181727159158,"9469",1,500,"sign",25
"48",0.827586206896552,0.172413793103448,0.314285714285714,0.685714285714286,"9469",1,500,"gaussian",25
"49",0.923194684043664,0.0768053159563364,0.0350627858455201,0.96493721415448,"9469",1,500,"sign",26
"50",0.88,0.12,0.235294117647059,0.764705882352941,"9469",1,500,"gaussian",26
"51",0.955130241779838,0.0448697582201619,0.0497720522276298,0.95022794777237,"9469",1,500,"sign",27
"52",0.789473684210526,0.210526315789474,0.0606060606060606,0.939393939393939,"9469",1,500,"gaussian",27
