"","sample","K","shape","BetaSigma"
"1","10021",58,1,500
"2","10024",7,1,500
"3","10025",64,1,500
"4","10027",27,1,500
"5","10028",39,1,500
"6","10046",103,1,500
"7","10122",31,1,500
"8","10126",46,1,500
"9","10127",82,1,500
"10","10128",16,1,500
"11","10130",41,1,500
"12","10131",24,1,500
"13","10136",9,1,500
"14","10171",30,1,500
"15","10184",32,1,500
"16","10374",69,1,500
"17","10378",87,1,500
"18","10379",89,1,500
"19","10380",51,1,500
"20","10381",37,1,500
"21","10382",62,1,500
"22","10384",12,1,500
"23","10395",33,1,500
"24","10400",11,1,500
"25","10401",5,1,500
"26","10408",41,1,500
"27","10409",91,1,500
"28","10411",39,1,500
"29","10417",36,1,500
"30","10419",45,1,500
"31","10420",51,1,500
"32","10443",115,1,500
"33","10460",133,1,500
"34","10461",103,1,500
"35","10484",33,1,500
"36","10485",25,1,500
"37","10492",36,1,500
"38","10494",41,1,500
"39","10497",21,1,500
"40","10499",25,1,500
"41","10500",47,1,500
"42","10503",53,1,500
"43","10504",8,1,500
"44","10505",71,1,500
"45","10506",64,1,500
"46","10508",44,1,500
"47","10509",20,1,500
"48","10514",39,1,500
"49","10619",23,1,500
"50","10620",68,1,500
"51","10626",26,1,500
"52","10629",36,1,500
"53","10636",27,1,500
"54","10639",56,1,500
"55","10640",81,1,500
"56","10669",47,1,500
"57","10672",81,1,500
"58","10674",25,1,500
"59","10675",21,1,500
"60","10837",34,1,500
"61","10851",17,1,500
"62","10856",45,1,500
"63","10857",32,1,500
"64","10859",38,1,500
"65","10860",80,1,500
"66","10862",39,1,500
"67","10865",47,1,500
"68","10872",26,1,500
"69","10876",101,1,500
"70","10877",47,1,500
"71","10878",40,1,500
"72","10880",50,1,500
"73","10881",88,1,500
"74","10886",82,1,500
"75","10887",88,1,500
"76","10894",44,1,500
"77","10901",25,1,500
"78","10903",63,1,500
"79","10904",105,1,500
"80","10905",38,1,500
"81","10931",36,1,500
"82","10932",27,1,500
"83","10934",51,1,500
