"","sample","shape","area"
"1",10021,1,135641.5
"2",10021,2,51116
"3",10021,3,14895.5
"4",10021,4,12114
"5",10024,1,15084.5
"6",10025,1,245796
"7",10025,2,17080
"8",10025,3,3191.5
"9",10025,4,1196
"10",10025,5,1157.5
"11",10027,1,20975.5
"12",10028,1,27925
"13",10028,2,6043
"14",10046,1,330210.5
"15",10046,2,1159
"16",10122,1,128520.5
"17",10126,1,121757
"18",10127,1,182666
"19",10127,2,42517
"20",10127,3,28060.5
"21",10127,4,4813.5
"22",10127,5,908
"23",10127,6,870.5
"24",10128,1,7910.5
"25",10128,2,5824.5
"26",10128,3,1327
"27",10131,1,50659
"28",10131,2,36362.5
"29",10131,3,20418
"30",10131,4,4093
"31",10131,5,3680
"32",10136,1,17284.5
"33",10171,1,13447
"34",10171,2,5321.5
"35",10171,3,1700
"36",10171,4,1369.5
"37",10184,1,55146
"38",10184,2,49423
"39",10184,3,27392.5
"40",10374,1,413335.5
"41",10374,2,2089
"42",10378,1,151209.5
"43",10378,2,2701
"44",10378,3,807.5
"45",10379,1,211921
"46",10379,2,23301.5
"47",10379,3,3548.5
"48",10379,4,1000
"49",10380,1,56572
"50",10380,2,37002.5
"51",10380,3,22580.5
"52",10380,4,16951.5
"53",10380,5,14119
"54",10380,6,12425.5
"55",10380,7,11636.5
"56",10380,8,5304.5
"57",10380,9,5161
"58",10380,10,4399
"59",10380,11,3661.5
"60",10380,12,3551.5
"61",10380,13,3125
"62",10380,14,2460.5
"63",10380,15,2362.5
"64",10380,16,1878
"65",10380,17,1443
"66",10380,18,1385
"67",10380,19,1306
"68",10380,20,1091
"69",10380,21,1019.5
"70",10380,22,912.5
"71",10380,23,813.5
"72",10381,1,60154
"73",10381,2,8567.5
"74",10381,3,5173
"75",10381,4,1876
"76",10381,5,1762
"77",10381,6,1787.5
"78",10381,7,1375.5
"79",10381,8,782.5
"80",10382,1,204993
"81",10382,2,1266
"82",10384,1,24202
"83",10384,2,18945
"84",10384,3,979.5
"85",10395,1,52775.5
"86",10400,1,6313
"87",10408,1,105102
"88",10408,2,16459
"89",10408,3,3982
"90",10408,4,1157.5
"91",10408,5,1004.5
"92",10408,6,891.5
"93",10408,7,757.5
"94",10409,1,364800.5
"95",10409,2,14306
"96",10409,3,5969
"97",10409,4,3407
"98",10409,5,1503
"99",10409,6,1065.5
"100",10409,7,931.5
"101",10409,8,806.5
"102",10411,1,58929.5
"103",10417,1,157809
"104",10419,1,238087
"105",10419,2,33841.5
"106",10419,3,10425.5
"107",10419,4,1796
"108",10420,1,255527.5
"109",10420,2,18841.5
"110",10443,1,266919
"111",10443,2,11414
"112",10443,3,2296
"113",10443,4,1411.5
"114",10443,5,1374.5
"115",10443,6,1234.5
"116",10443,7,1174
"117",10443,8,1005.5
"118",10443,9,957.5
"119",10461,1,411059.5
"120",10461,2,3687
