"","sample","shape","perim"
"1",10021,1,4735.31493398823
"2",10021,2,1880.78383797158
"3",10021,3,1228.71782079359
"4",10021,4,849.42135623731
"5",10024,1,735.865007051206
"6",10025,1,6027.89061915812
"7",10025,2,3092.572726577
"8",10025,3,553.095454429505
"9",10025,4,319.254833995939
"10",10025,5,345.154328932551
"11",10027,1,2529.47727214752
"12",10028,1,2802.69047558311
"13",10028,2,939.705627484773
"14",10046,1,9037.39227792338
"15",10046,2,286.911688245432
"16",10122,1,3182.12907576311
"17",10126,1,4198.56262530922
"18",10127,1,7151.73838226666
"19",10127,2,2419.29350596344
"20",10127,3,2309.2518754031
"21",10127,4,889.66399692443
"22",10127,5,283.254833995939
"23",10127,6,269.497474683058
"24",10128,1,1098.91883092037
"25",10128,2,752.693434175952
"26",10128,3,405.882250993909
"27",10131,1,2317.29350596345
"28",10131,2,2191.59502115362
"29",10131,3,2259.49451609023
"30",10131,4,702.793939239341
"31",10131,5,414.225396744417
"32",10136,1,957.119841047146
"33",10171,1,2000.92597359531
"34",10171,2,977.462986797653
"35",10171,3,396.225396744416
"36",10171,4,259.840620433566
"37",10184,1,2778.83261120683
"38",10184,2,1771.47012947259
"39",10184,3,1939.16861428243
"40",10374,1,6438.5007922134
"41",10374,2,599.338095116625
"42",10378,1,7540.83383669618
"43",10378,2,432.367532368148
"44",10378,3,210.526911934581
"45",10379,1,7543.76276888431
"46",10379,2,1929.51176003293
"47",10379,3,482.124891681028
"48",10379,4,221.941125496954
"49",10380,1,4209.24891681023
"50",10380,2,3186.07020126006
"51",10380,3,1738.25692603699
"52",10380,4,2438.16356364853
"53",10380,5,1285.64675298173
"54",10380,6,1939.16861428243
"55",10380,7,1879.16861428243
"56",10380,8,634.894444302729
"57",10380,9,654.793939239341
"58",10380,10,684.793939239341
"59",10380,11,930.634559672907
"60",10380,12,555.580735803744
"61",10380,13,788.107647738326
"62",10380,14,519.438600180013
"63",10380,15,348.811183182043
"64",10380,16,496.02438661764
"65",10380,17,276.083261120685
"66",10380,18,319.254833995939
"67",10380,19,319.39696961967
"68",10380,20,390.225396744417
"69",10380,21,430.610173055267
"70",10380,22,237.01219330882
"71",10380,23,255.01219330882
"72",10381,1,3911.30779131328
"73",10381,2,832.007142674937
"74",10381,3,946.735064736295
"75",10381,4,405.882250993909
"76",10381,5,438.367532368148
"77",10381,6,345.154328932551
"78",10381,7,360.811183182043
"79",10381,8,246.669047558312
"80",10382,1,6101.34646328084
"81",10382,2,249.597979746447
"82",10384,1,1433.58787847868
"83",10384,2,1054.87720036003
"84",10384,3,209.355339059327
"85",10395,1,2934.38896039294
"86",10400,1,767.764501987818
"87",10408,1,3865.50880144005
"88",10408,2,1893.95541084683
"89",10408,3,862.735064736295
"90",10408,4,306.669047558312
"91",10408,5,306.669047558312
"92",10408,6,186.526911934581
"93",10408,7,298.325901807805
"94",10409,1,8811.02474555522
"95",10409,2,1847.26911934581
"96",10409,3,1452.90158697767
"97",10409,4,461.195959492894
"98",10409,5,433.539105243401
"99",10409,6,388.468037431536
"100",10409,7,235.840620433566
"101",10409,8,193.698484809835
"102",10411,1,3450.07020126005
"103",10417,1,3895.50880144005
"104",10419,1,4895.98398154654
"105",10419,2,1833.3696244092
"106",10419,3,665.923881554252
"107",10419,4,612.65180361561
"108",10420,1,5226.71190360791
"109",10420,2,970.149278298668
"110",10443,1,9413.31615947763
"111",10443,2,1447.93102422919
"112",10443,3,622.308657865102
"113",10443,4,550.752308678998
"114",10443,5,287.497474683058
"115",10443,6,318.811183182043
"116",10443,7,331.39696961967
"117",10443,8,420.953318805774
"118",10443,9,275.497474683058
"119",10461,1,9550.87250866374
"120",10461,2,496.02438661764
"121",10484,1,4056.03571337463
"122",10484,2,615.722871427475
"123",10484,3,349.982756057297
"124",10484,4,310.911688245432
"125",10484,5,294.083261120685
"126",10485,1,3210.37171645023
"127",10485,2,783.279220613579
"128",10492,1,3079.70266889192
"129",10492,2,3272.41334701056
"130",10492,3,1622.94321753801
"131",10494,1,3740.39610306785
"132",10497,1,1782.29855659734
"133",10497,2,2570.30569927226
"134",10499,1,2401.43564158718
"135",10499,2,1940.34018715768
"136",10499,3,1952.92597359531
"137",10499,4,838.007142674937
"138",10499,5,434.710678118655
"139",10499,6,404.710678118655
"140",10499,7,246.669047558312
"141",10500,1,3513.70981156684
"142",10500,2,1499.87214972614
"143",10500,3,585.580735803744
"144",10500,4,365.053823869163
"145",10500,5,288.669047558312
"146",10500,6,309.154328932551
"147",10503,1,5077.74134085943
"148",10503,2,3628.29559800446
"149",10503,3,716.693434175952
"150",10503,4,578.40916292849
"151",10503,5,396.225396744416
"152",10503,6,215.941125496954
"153",10504,1,765.865007051206
"154",10504,2,154.62741699797
"155",10505,1,7507.03484682295
"156",10505,2,336.811183182043
"157",10505,3,261.597979746447
"158",10506,1,6917.59624664293
"159",10508,1,5067.64083579604
"160",10509,1,1823.71277015971
"161",10509,2,1446.17366491631
"162",10509,3,742.450793488833
"163",10509,4,391.39696961967
"164",10509,5,283.840620433566
"165",10514,1,4965.4987001723
"166",10514,2,342.811183182043
"167",10619,1,1812.44069222107
"168",10619,2,1671.08535316174
"169",10619,3,454.610173055267
"170",10619,4,306.083261120685
"171",10619,5,211.112698372208
"172",10619,6,216.526911934581
"173",10620,1,5591.2215715998
"174",10620,2,2367.19300090006
"175",10620,3,349.982756057297
"176",10620,4,410.710678118655
"177",10620,5,249.01219330882
"178",10626,1,2610.54833995938
"179",10629,1,3930.92301500243
"180",10629,2,317.497474683059
"181",10636,1,1832.78383797158
"182",10639,1,4988.32712729705
"183",10639,2,4629.08953724381
"184",10639,3,291.597979746447
"185",10640,1,7163.73838226666
"186",10640,2,933.563491861041
"187",10640,3,665.03657992646
"188",10640,4,466.02438661764
"189",10640,5,535.095454429505
"190",10640,6,499.095454429505
"191",10669,1,4960.08448660994
"192",10669,2,693.137084989848
"193",10669,3,528.509667991879
"194",10669,4,432.953318805774
"195",10672,1,8895.59328805016
"196",10672,2,337.39696961967
"197",10674,1,2657.96255352175
"198",10674,2,476.124891681028
"199",10674,3,264.669047558312
"200",10675,1,1970.92597359531
"201",10837,1,4479.67532368143
"202",10837,2,528.509667991879
"203",10851,1,1454.51681066682
"204",10851,2,1161.40411229461
"205",10851,3,724.308657865102
"206",10851,4,435.154328932551
"207",10851,5,651.722871427475
"208",10851,6,623.480230740356
"209",10851,7,393.882250993909
"210",10851,8,307.254833995939
"211",10851,9,401.63961030679
