"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.255,1.123,"11110",1,20,"-1"
"2",0.026,3.333,"11110",1,20,"1"
"3",-0.5,1.135,"11110",2,20,"-1"
"4",0.651,2.947,"11110",2,20,"1"
"5",-1.025,1.806,"11110",3,20,"-1"
"6",0.458,0.923,"11110",3,20,"1"
"7",4.064,0.349,"11110",4,20,"-1"
"8",0.004,1.259,"11110",4,20,"1"
"9",-0.09,2.477,"11110",5,20,"-1"
"10",-0.082,0.806,"11110",5,20,"1"
"11",-0.047,1.957,"11110",6,20,"-1"
"12",0.066,0.763,"11110",6,20,"1"
"13",-0.393,0.698,"11110",7,20,"-1"
"14",0.538,1.796,"11110",7,20,"1"
