"","-1","-1to1","1to-1","1","sample","shape","BetaSigma","model"
"1",0.914661967806348,0.0853380321936515,0.0984638182196445,0.901536181780355,"11292",1,20,"sign"
"2",0.807459677419355,0.192540322580645,0.20384204909285,0.79615795090715,"11292",1,20,"gaussian"
"3",0.921948975170278,0.0780510248297219,0.0959934044689468,0.904006595531053,"11292",2,20,"sign"
"4",0.805161290322581,0.194838709677419,0.201333333333333,0.798666666666667,"11292",2,20,"gaussian"
"5",0.893840140018911,0.106159859981089,0.0900740311209269,0.909925968879073,"11292",3,20,"sign"
"6",0.776902887139108,0.223097112860892,0.168,0.832,"11292",3,20,"gaussian"
"7",0.850718721146816,0.149281278853184,0.0708988143254824,0.929101185674518,"11292",4,20,"sign"
"8",0.758389261744966,0.241610738255034,0.146938775510204,0.853061224489796,"11292",4,20,"gaussian"
"9",0.886692402497054,0.113307597502946,0.0581972984373799,0.94180270156262,"11292",5,20,"sign"
"10",0.779411764705882,0.220588235294118,0.227272727272727,0.772727272727273,"11292",5,20,"gaussian"
