"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status","segs"
"1",-0.284,2.506,"11346",1,500,"-1",61
"2",6.046,1.945,"11346",1,500,"1",61
"3",-7.752,3.193,"11346",1,500,"-1",60
"4",1.445,3.976,"11346",1,500,"1",60
"5",-10.133,3.333,"11346",1,500,"-1",59
"6",-1.946,2.849,"11346",1,500,"1",59
"7",-2.901,1.417,"11346",1,500,"-1",58
"8",1.159,1.519,"11346",1,500,"1",58
"9",-1.128,0.518,"11346",1,500,"-1",56
"10",1.816,1.265,"11346",1,500,"1",56
"11",-2.276,1.11,"11346",1,500,"-1",55
"12",2.067,1.491,"11346",1,500,"1",55
"13",-2.319,2.018,"11346",1,500,"-1",54
"14",3.062,2.092,"11346",1,500,"1",54
"15",-6.043,1.185,"11346",1,500,"-1",53
"16",-2.164,1.227,"11346",1,500,"1",53
"17",-5.717,1.631,"11346",1,500,"-1",52
"18",-0.201,1.407,"11346",1,500,"1",52
"19",-4.641,0.823,"11346",1,500,"-1",51
"20",1.985,2.383,"11346",1,500,"1",51
"21",-4.419,3.117,"11346",1,500,"-1",50
"22",3.091,1.592,"11346",1,500,"1",50
"23",-0.026,1.731,"11346",1,500,"-1",49
"24",5.502,1.137,"11346",1,500,"1",49
"25",-2.929,1.331,"11346",1,500,"-1",48
"26",0.526,1.194,"11346",1,500,"1",48
"27",-0.886,1.537,"11346",1,500,"-1",47
"28",1.791,3.669,"11346",1,500,"1",47
"29",-2.926,2.13,"11346",1,500,"-1",46
"30",3.768,1.804,"11346",1,500,"1",46
"31",-7.185,2.242,"11346",1,500,"-1",45
"32",0.18,2.227,"11346",1,500,"1",45
"33",-2.303,1.481,"11346",1,500,"-1",44
"34",1.831,2.03,"11346",1,500,"1",44
"35",-1.182,1.762,"11346",1,500,"-1",42
"36",1.534,6.302,"11346",1,500,"1",42
"37",0.26,0.877,"11346",1,500,"-1",41
"38",7.002,2.132,"11346",1,500,"1",41
"39",-0.352,1.901,"11346",1,500,"-1",40
"40",5.137,1.835,"11346",1,500,"1",40
"41",0.04,2.626,"11346",1,500,"-1",39
"42",7.889,2.139,"11346",1,500,"1",39
"43",-6.001,1.573,"11346",1,500,"-1",38
"44",1.048,2.852,"11346",1,500,"1",38
"45",-4.204,2.242,"11346",1,500,"-1",37
"46",2.398,2.625,"11346",1,500,"1",37
"47",-1.51,0.5,"11346",1,500,"-1",36
"48",0.926,1.052,"11346",1,500,"1",36
"49",-4.384,2.75,"11346",1,500,"-1",35
"50",3.153,2.186,"11346",1,500,"1",35
"51",-7.868,1.405,"11346",1,500,"-1",34
"52",-0.408,2.378,"11346",1,500,"1",34
"53",-6.485,0.249,"11346",1,500,"-1",33
"54",-2.397,1.791,"11346",1,500,"1",33
"55",-1.54,1.552,"11346",1,500,"-1",32
"56",2.731,1.073,"11346",1,500,"1",32
"57",-1.888,3.806,"11346",1,500,"-1",31
"58",8.792,2.896,"11346",1,500,"1",31
"59",-5.48,2.223,"11346",1,500,"-1",30
"60",1.925,2.736,"11346",1,500,"1",30
"61",-4.026,4.104,"11346",1,500,"-1",29
"62",-1.063,0.886,"11346",1,500,"1",29
"63",-0.14,1.591,"11346",1,500,"-1",28
"64",3.959,1.635,"11346",1,500,"1",28
"65",-2.9,1.025,"11346",1,500,"-1",27
"66",2,1.515,"11346",1,500,"1",27
"67",-1.586,2.969,"11346",1,500,"-1",26
"68",5.946,1.495,"11346",1,500,"1",26
"69",-2.571,2.118,"11346",1,500,"-1",25
"70",2.307,1.689,"11346",1,500,"1",25
"71",-2.749,0.435,"11346",1,500,"-1",24
"72",-0.2,0.4,"11346",1,500,"1",24
"73",-1.87,1.152,"11346",1,500,"-1",23
"74",1.146,1.085,"11346",1,500,"1",23
"75",-1.296,1.225,"11346",1,500,"-1",22
"76",-0.091,4.734,"11346",1,500,"1",22
"77",-3.32,1.36,"11346",1,500,"-1",21
"78",2.372,3.303,"11346",1,500,"1",21
"79",-4.039,0.779,"11346",1,500,"-1",20
"80",0.05,1.609,"11346",1,500,"1",20
"81",-1.687,2.161,"11346",1,500,"-1",19
"82",2.475,7.169,"11346",1,500,"1",19
"83",0.25,0.579,"11346",1,500,"-1",18
"84",1.97,0.853,"11346",1,500,"1",18
"85",-5.66,2.107,"11346",1,500,"-1",17
"86",0.788,2.649,"11346",1,500,"1",17
"87",0.723,0.54,"11346",1,500,"-1",16
"88",2.604,0.506,"11346",1,500,"1",16
"89",-2.853,0.593,"11346",1,500,"-1",15
"90",-0.111,0.898,"11346",1,500,"1",15
"91",-1.977,1.14,"11346",1,500,"-1",14
"92",0.829,0.94,"11346",1,500,"1",14
"93",-1.723,1.165,"11346",1,500,"-1",13
"94",1.674,1.395,"11346",1,500,"1",13
"95",-3.946,1.711,"11346",1,500,"-1",12
"96",0.551,1.363,"11346",1,500,"1",12
"97",-0.565,1.017,"11346",1,500,"-1",11
"98",2.239,1.272,"11346",1,500,"1",11
