"","num","equil","pn","elapse"
"elapsed","4","FALSE","100",3.75099999998929
"elapsed1","4","FALSE","100",3.73300000000745
"elapsed2","4","FALSE","100",3.62400000001071
"elapsed3","4","FALSE","100",3.54099999996834
"elapsed4","4","FALSE","100",3.84000000002561
"elapsed5","4","FALSE","100",3.71700000000419
"elapsed6","4","FALSE","100",2.43499999999767
"elapsed7","4","FALSE","100",2.48100000002887
"elapsed8","4","FALSE","100",2.47399999998743
"elapsed9","4","FALSE","100",2.46299999998882
"elapsed10","4","FALSE","100",2.5789999999688
"elapsed11","4","FALSE","100",2.40099999995437
"elapsed12","4","FALSE","100",2.18299999996088
"elapsed13","4","FALSE","100",2.26900000002934
"elapsed14","4","FALSE","100",2.25800000003073
"elapsed15","4","FALSE","100",2.12699999997858
"elapsed16","4","FALSE","100",2.23299999994924
"elapsed17","4","FALSE","100",2.38099999999395
"elapsed18","4","FALSE","100",1.86700000002747
"elapsed19","4","FALSE","100",1.99900000001071
"elapsed20","4","FALSE","100",1.97599999996601
"elapsed21","4","FALSE","100",1.63500000000931
"elapsed22","4","FALSE","100",2.03800000000047
"elapsed23","4","FALSE","100",2.02499999996508
"elapsed24","4","FALSE","100",1.95900000003166
"elapsed25","4","FALSE","100",1.86200000002282
"elapsed26","4","FALSE","100",1.73499999998603
"elapsed27","4","FALSE","100",1.80699999997159
"elapsed28","4","FALSE","100",1.79800000000978
"elapsed29","4","FALSE","100",1.74099999997998
"elapsed30","4","FALSE","100",1.81700000003912
"elapsed31","4","FALSE","100",1.64100000000326
"elapsed32","4","FALSE","100",1.78000000002794
"elapsed33","4","FALSE","100",1.74699999997392
"elapsed34","4","FALSE","100",1.71799999999348
"elapsed35","4","FALSE","100",1.90200000000186
"elapsed36","4","FALSE","100",1.90100000001257
"elapsed37","4","FALSE","100",1.7390000000014
"elapsed38","4","FALSE","100",1.92800000001444
"elapsed39","4","FALSE","100",1.86200000002282
"elapsed40","4","FALSE","100",1.74900000001071
"elapsed41","4","FALSE","100",1.71699999994598
"elapsed42","4","FALSE","100",1.93400000000838
"elapsed43","4","FALSE","100",1.81399999995483
"elapsed44","4","FALSE","100",1.75200000003679
"elapsed45","4","FALSE","100",1.76199999998789
"elapsed46","4","FALSE","100",1.84899999998743
"elapsed47","4","FALSE","100",1.69000000000233
"elapsed48","4","FALSE","100",1.87900000001537
"elapsed49","4","FALSE","100",1.76299999997718
"elapsed50","4","FALSE","150",4.71400000003632
"elapsed51","4","FALSE","150",3.9210000000312
"elapsed52","4","FALSE","150",4.5
"elapsed53","4","FALSE","150",4.2850000000326
"elapsed54","4","FALSE","150",4.28700000001118
"elapsed55","4","FALSE","150",4.61099999997532
"elapsed56","4","FALSE","150",4.55399999994552
"elapsed57","4","FALSE","150",4.69899999996414
"elapsed58","4","FALSE","150",4.55999999999767
"elapsed59","4","FALSE","150",4.42399999999907
"elapsed60","4","FALSE","150",4.1940000000177
"elapsed61","4","FALSE","150",3.91600000002654
"elapsed62","4","FALSE","150",3.7269999999553
"elapsed63","4","FALSE","150",3.75899999996182
"elapsed64","4","FALSE","150",3.97599999996601
"elapsed65","4","FALSE","150",3.79399999999441
"elapsed66","4","FALSE","150",3.86999999999534
"elapsed67","4","FALSE","150",3.69000000000233
"elapsed68","4","FALSE","150",4.18699999997625
"elapsed69","4","FALSE","150",4.20199999999022
"elapsed70","4","FALSE","150",3.92300000000978
"elapsed71","4","FALSE","150",3.78299999999581
"elapsed72","4","FALSE","150",4.56299999996554
"elapsed73","4","FALSE","150",4.23399999999674
"elapsed74","4","FALSE","150",3.90700000000652
"elapsed75","4","FALSE","150",4.20100000000093
"elapsed76","4","FALSE","150",4.00099999998929
"elapsed77","4","FALSE","150",3.60300000000279
"elapsed78","4","FALSE","150",3.98200000001816
"elapsed79","4","FALSE","150",3.98500000004424
"elapsed80","4","FALSE","150",4.7510000000475
"elapsed81","4","FALSE","150",4.8179999999702
"elapsed82","4","FALSE","150",4.16200000001118
"elapsed83","4","FALSE","150",4.17799999995623
"elapsed84","4","FALSE","150",4.14600000000792
"elapsed85","4","FALSE","150",4.58199999999488
