sample,beta_sigma,estK,method,MCC,ARI,TPR,FPR
Normal_5_equil_FALSE_pn_150_seed_29,2/n,7,PPM,-0.0268963662325966,-0.0248753958940585,0,0.020979020979021
Normal_5_equil_FALSE_pn_150_seed_29,2/n,7,PPM_window5,0.769236074252264,0.732800343213335,1,0
Normal_5_equil_FALSE_pn_150_seed_29,2/n,7,PPI,0.769236074252264,0.732800343213335,1,0
Normal_5_equil_FALSE_pn_150_seed_29,2/n,7,PPI_window5,0.769236074252264,0.732800343213335,1,0
Normal_5_equil_FALSE_pn_150_seed_29,4/n,7,PPM,0.238481113929024,0.220362645266305,0.333333333333333,0.013986013986014
Normal_5_equil_FALSE_pn_150_seed_29,4/n,7,PPM_window5,0.769236074252264,0.732800343213335,1,0
Normal_5_equil_FALSE_pn_150_seed_29,4/n,7,PPI,0.769236074252264,0.732800343213335,1,0
Normal_5_equil_FALSE_pn_150_seed_29,4/n,7,PPI_window5,0.769236074252264,0.732800343213335,1,0
Normal_5_equil_FALSE_pn_150_seed_29,2/n,3,PPM,0.238481113929024,0.220362645266305,0.333333333333333,0.013986013986014
Normal_5_equil_FALSE_pn_150_seed_29,2/n,3,PPM_window5,0.769236074252264,0.732800343213335,1,0
Normal_5_equil_FALSE_pn_150_seed_29,2/n,3,PPI,0.43007561540389,0.411658314811899,0.5,0.013986013986014
Normal_5_equil_FALSE_pn_150_seed_29,2/n,3,PPI_window5,0.66069587293931,0.642057855864582,0.75,0.00699300699300699
Normal_5_equil_FALSE_pn_150_seed_29,4/n,5,PPM,-0.0268963662325966,-0.0248753958940585,0,0.020979020979021
Normal_5_equil_FALSE_pn_150_seed_29,4/n,5,PPM_window5,0.769236074252264,0.732800343213335,1,0
Normal_5_equil_FALSE_pn_150_seed_29,4/n,5,PPI,0.43007561540389,0.411658314811899,0.5,0.013986013986014
Normal_5_equil_FALSE_pn_150_seed_29,4/n,5,PPI_window5,0.66069587293931,0.642057855864582,0.75,0.00699300699300699
Normal_5_equil_FALSE_pn_150_seed_29,1/4n,3,PPM,0.720051396949316,0.701030474492884,0.666666666666667,0.013986013986014
Normal_5_equil_FALSE_pn_150_seed_29,1/4n,3,PPM_window5,0.909673473014261,0.898968918966561,0.833333333333333,0.00699300699300699
Normal_5_equil_FALSE_pn_150_seed_29,1/4n,3,PPI,1,1,1,0
Normal_5_equil_FALSE_pn_150_seed_29,1/4n,3,PPI_window5,1,1,1,0
Normal_5_equil_FALSE_pn_150_seed_29,4/n,11,PPM,0.503858594090644,0.47292122496877,0.666666666666667,0.00699300699300699
Normal_5_equil_FALSE_pn_150_seed_29,4/n,11,PPM_window5,0.769236074252264,0.732800343213335,1,0
Normal_5_equil_FALSE_pn_150_seed_29,4/n,11,PPI,0.43007561540389,0.411658314811899,0.5,0.013986013986014
Normal_5_equil_FALSE_pn_150_seed_29,4/n,11,PPI_window5,0.66069587293931,0.642057855864582,0.75,0.00699300699300699
Normal_5_equil_FALSE_pn_150_seed_29,1/2n,5,PPM,1,1,1,0
Normal_5_equil_FALSE_pn_150_seed_29,1/2n,5,PPM_window5,1,1,1,0
Normal_5_equil_FALSE_pn_150_seed_29,1/2n,5,PPI,1,1,1,0
Normal_5_equil_FALSE_pn_150_seed_29,1/2n,5,PPI_window5,1,1,1,0
Normal_5_equil_FALSE_pn_150_seed_29,1/2n,9,PPM,0.720051396949316,0.701030474492884,0.666666666666667,0.013986013986014
Normal_5_equil_FALSE_pn_150_seed_29,1/2n,9,PPM_window5,0.909673473014261,0.898968918966561,0.833333333333333,0.00699300699300699
Normal_5_equil_FALSE_pn_150_seed_29,1/2n,9,PPI,0.909673473014261,0.898968918966561,0.833333333333333,0.00699300699300699
Normal_5_equil_FALSE_pn_150_seed_29,1/2n,9,PPI_window5,0.909673473014261,0.898968918966561,0.833333333333333,0.00699300699300699
Normal_5_equil_FALSE_pn_150_seed_29,4/n,3,PPM,-0.0311648996669486,-0.0293922352032375,0,0.027972027972028
Normal_5_equil_FALSE_pn_150_seed_29,4/n,3,PPM_window5,0.66069587293931,0.642057855864582,0.75,0.00699300699300699
Normal_5_equil_FALSE_pn_150_seed_29,4/n,3,PPI,0.66069587293931,0.642057855864582,0.75,0.00699300699300699
Normal_5_equil_FALSE_pn_150_seed_29,4/n,3,PPI_window5,0.66069587293931,0.642057855864582,0.75,0.00699300699300699
Normal_5_equil_FALSE_pn_150_seed_29,1/n,5,PPM,0.379020979020979,0.362279047332673,0.4,0.020979020979021
Normal_5_equil_FALSE_pn_150_seed_29,1/n,5,PPM_window5,1,1,1,0
Normal_5_equil_FALSE_pn_150_seed_29,1/n,5,PPI,1,1,1,0
Normal_5_equil_FALSE_pn_150_seed_29,1/n,5,PPI_window5,1,1,1,0
Normal_5_equil_FALSE_pn_150_seed_29,1/n,11,PPM,0.586013986013986,0.568864708055892,0.6,0.013986013986014
Normal_5_equil_FALSE_pn_150_seed_29,1/n,11,PPM_window5,1,1,1,0
Normal_5_equil_FALSE_pn_150_seed_29,1/n,11,PPI,0.909673473014261,0.898968918966561,0.833333333333333,0.00699300699300699
Normal_5_equil_FALSE_pn_150_seed_29,1/n,11,PPI_window5,0.909673473014261,0.898968918966561,0.833333333333333,0.00699300699300699
Normal_5_equil_FALSE_pn_150_seed_29,1/n,7,PPM,0.663045906157656,0.633646273571816,0.571428571428571,0.020979020979021
Normal_5_equil_FALSE_pn_150_seed_29,1/n,7,PPM_window5,0.909673473014261,0.898968918966561,0.833333333333333,0.00699300699300699
Normal_5_equil_FALSE_pn_150_seed_29,1/n,7,PPI,1,1,1,0
Normal_5_equil_FALSE_pn_150_seed_29,1/n,7,PPI_window5,1,1,1,0
Normal_5_equil_FALSE_pn_150_seed_29,1/n,9,PPM,0.379020979020979,0.362279047332673,0.4,0.020979020979021
Normal_5_equil_FALSE_pn_150_seed_29,1/n,9,PPM_window5,1,1,1,0
Normal_5_equil_FALSE_pn_150_seed_29,1/n,9,PPI,0.839223274400624,0.814279013685712,0.714285714285714,0.013986013986014
Normal_5_equil_FALSE_pn_150_seed_29,1/n,9,PPI_window5,0.909673473014261,0.898968918966561,0.833333333333333,0.00699300699300699
Normal_5_equil_FALSE_pn_150_seed_29,1/n,3,PPM,0.379020979020979,0.362279047332673,0.4,0.020979020979021
Normal_5_equil_FALSE_pn_150_seed_29,1/n,3,PPM_window5,1,1,1,0
Normal_5_equil_FALSE_pn_150_seed_29,1/n,3,PPI,0.909673473014261,0.898968918966561,0.833333333333333,0.00699300699300699
Normal_5_equil_FALSE_pn_150_seed_29,1/n,3,PPI_window5,0.909673473014261,0.898968918966561,0.833333333333333,0.00699300699300699
Normal_5_equil_FALSE_pn_150_seed_29,2/n,9,PPM,0.340807244819427,0.321648455918338,0.333333333333333,0.027972027972028
Normal_5_equil_FALSE_pn_150_seed_29,2/n,9,PPM_window5,1,1,1,0
Normal_5_equil_FALSE_pn_150_seed_29,2/n,9,PPI,1,1,1,0
Normal_5_equil_FALSE_pn_150_seed_29,2/n,9,PPI_window5,1,1,1,0
Normal_5_equil_FALSE_pn_150_seed_29,2/n,5,PPM,0.586013986013986,0.568864708055892,0.6,0.013986013986014
Normal_5_equil_FALSE_pn_150_seed_29,2/n,5,PPM_window5,1,1,1,0
Normal_5_equil_FALSE_pn_150_seed_29,2/n,5,PPI,1,1,1,0
Normal_5_equil_FALSE_pn_150_seed_29,2/n,5,PPI_window5,1,1,1,0
Normal_5_equil_FALSE_pn_150_seed_29,2/n,11,PPM,0.340807244819427,0.321648455918338,0.333333333333333,0.027972027972028
Normal_5_equil_FALSE_pn_150_seed_29,2/n,11,PPM_window5,1,1,1,0
Normal_5_equil_FALSE_pn_150_seed_29,2/n,11,PPI,0.839223274400624,0.814279013685712,0.714285714285714,0.013986013986014
Normal_5_equil_FALSE_pn_150_seed_29,2/n,11,PPI_window5,0.909673473014261,0.898968918966561,0.833333333333333,0.00699300699300699
